Population,Year,white,black,aian,asian,nhpi,multiple
330268840,2019,252109531,44298022,4187826,19581502,802961,9288998
332639102,2020,253280207,44734497,4232241,20009001,813468,9569688
334998398,2021,254431430,45171507,4276566,20439172,823945,9855778
337341954,2022,255560211,45607932,4320711,20871550,834348,10147202
339665118,2023,256663132,46042859,4364644,21305916,844651,10443916
341963408,2024,257736508,46475578,4408338,21742244,854847,10745893
344234377,2025,258777651,46905743,4451723,22181229,864908,11053123
346481182,2026,259787881,47333540,4494803,22624288,874839,11365831
348695115,2027,260763234,47758293,4537548,23067536,884615,11683889
350872007,2028,261700743,48179525,4579848,23510528,894225,12007138
353008224,2029,262597977,48596595,4621604,23952898,903679,12335471
355100730,2030,263452822,49009048,4662816,24394286,913014,12668744
357147329,2031,264263815,49416681,4703408,24834366,922192,13006867
359146709,2032,265029864,49819434,4743362,25273013,931239,13349797
361098559,2033,265750584,50217600,4782693,25710040,940146,13697496
363003410,2034,266426109,50611562,4821369,26145343,948945,14050082
364862145,2035,267056777,51001819,4859379,26578853,957644,14407673
366676312,2036,267643407,51389018,4896684,27010524,966211,14770468
368447857,2037,268187143,51773874,4933251,27440303,974684,15138602
370178704,2038,268689407,52156888,4969083,27868091,983046,15512189
371871238,2039,269152113,52538491,5004126,28293853,991278,15891377
373527973,2040,269577568,52918964,5038439,28717590,999360,16276052
375151805,2041,269968399,53298545,5071958,29139284,1007304,16666315
376746115,2042,270327626,53677486,5104757,29558904,1015109,17062233
378314343,2043,270658235,54056137,5136773,29976552,1022764,17463882
379860859,2044,270964064,54434796,5168048,30392247,1030262,17871442
381390297,2045,271249207,54813746,5198597,30806025,1037601,18285121
382907447,2046,271517725,55193480,5228422,31218025,1044734,18705061
384415207,2047,271772126,55574191,5257541,31628316,1051685,19131348
385917628,2048,272015972,55956101,5285962,32036991,1058447,19564155
387418788,2049,272252899,56339518,5313741,32444129,1064991,20003510
388922201,2050,272486228,56724535,5340873,32849705,1071358,20449502
390430803,2051,272718700,57111370,5367443,33253754,1077521,20902015
391947055,2052,272952628,57500239,5393437,33656204,1083492,21361055
393472783,2053,273189843,57891230,5418883,34057037,1089274,21826516
395009307,2054,273431740,58284388,5443811,34456219,1094886,22298263
396557404,2055,273679233,58679696,5468232,34853703,1100303,22776237
398117875,2056,273933157,59077233,5492180,35249453,1105586,23260266
399690963,2057,274193838,59476973,5515672,35643456,1110703,23750321
401276590,2058,274461249,59878973,5538706,36035698,1115706,24246258
402874337,2059,274735124,60283229,5561297,36426154,1120570,24747963
404483055,2060,275014444,60689660,5583459,36814758,1125295,25255439
