id,STNAME,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2010_MALE,POPESTIMATE2011_MALE,POPESTIMATE2012_MALE,POPESTIMATE2013_MALE,POPESTIMATE2014_MALE,POPESTIMATE2015_MALE,POPESTIMATE2016_MALE,POPESTIMATE2017_MALE,POPESTIMATE2018_MALE,POPESTIMATE2000_MALE,POPESTIMATE2001_MALE,POPESTIMATE2002_MALE,POPESTIMATE2003_MALE,POPESTIMATE2004_MALE,POPESTIMATE2005_MALE,POPESTIMATE2006_MALE,POPESTIMATE2007_MALE,POPESTIMATE2008_MALE,POPESTIMATE2009_MALE,POPESTIMATE2010_F,POPESTIMATE2011_F,POPESTIMATE2012_F,POPESTIMATE2013_F,POPESTIMATE2014_F,POPESTIMATE2015_F,POPESTIMATE2016_F,POPESTIMATE2017_F,POPESTIMATE2018_F,POPESTIMATE2000_F,POPESTIMATE2001_F,POPESTIMATE2002_F,POPESTIMATE2003_F,POPESTIMATE2004_F,POPESTIMATE2005_F,POPESTIMATE2006_F,POPESTIMATE2007_F,POPESTIMATE2008_F,POPESTIMATE2009_F
01,Alabama,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,2309539,2314899,2322326,2329505,2334727,2340485,2345057,2347975,2352327,2149338,2158138,2165719,2179422,2192872,2213382,2243501,2265565,2287949,2309779,2459862,2468443,2477583,2485630,2492844,2499031,2506506,2514147,2521737,2302835,2309496,2314370,2324069,2337857,2356423,2385480,2407275,2430257,2448159
02,Alaska,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713906,722038,730399,737045,736307,737547,741504,739786,737438,352433,359668,362992,365204,366520,367197,369651,368300,368202,324750,328135,332704,335380,341479,346026,350181,353162,358043,361893,339233,343323,346425,348245,347671,348331,350317,350276,349801,303213,305579,309633,313034,317807,320920,325121,327138,329412,337002
04,Arizona,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646,3166006,3200571,3243330,3280479,3331447,3382644,3436747,3488685,3548708,2576007,2631801,2692038,2746287,2816798,2908266,3003007,3070683,3125084,3153246,3219848,3251594,3293300,3333995,3382750,3432893,3489749,3541999,3603311,2584579,2641676,2704217,2764077,2835606,2930811,3026134,3096998,3155278,3189908
05,Arkansas,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825,1428528,1438535,1444485,1447640,1451678,1458577,1464813,1470508,1475662,1307573,1314726,1322688,1333293,1346638,1362802,1383333,1397292,1410334,1421830,1486284,1495298,1501068,1505168,1509275,1514305,1520411,1526783,1532904,1371015,1376845,1383239,1391523,1403048,1418295,1438428,1451358,1464220,1475013
06,California,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045,18415213,18564345,18722108,18874413,19052080,19218794,19347643,19445252,19531294,16937562,17185235,17373381,17543650,17703161,17831713,17923731,18035385,18207365,18378154,18754565,18924459,19085656,19250327,19419946,19578498,19703908,19793368,19869690,17050415,17294223,17498462,17709509,17871415,17996230,18097471,18214926,18396972,18583075
08,Colorado,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564,2501228,2537412,2574033,2612222,2655652,2710638,2758871,2796277,2837702,2179179,2229982,2261741,2275518,2300502,2323650,2367463,2407435,2450670,2491485,2513672,2550214,2584958,2621935,2659379,2706708,2748466,2783378,2821819,2147742,2195705,2228665,2253214,2274511,2308238,2352960,2396433,2439060,2480710
09,Connecticut,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665,1734338,1740604,1744169,1744339,1745927,1743004,1738553,1736720,1737015,1652459,1663876,1678249,1690868,1698016,1704888,1709785,1715653,1724830,1733028,1836259,1840036,1842688,1842140,1841257,1837201,1832564,1829832,1828741,1759318,1768959,1780500,1793468,1798078,1802068,1807675,1811617,1820749,1828779
10,Delaware,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899595,907316,915188,923638,932596,941413,949216,957078,967171,432420,436024,440008,443606,448202,452749,456263,460054,465097,381926,386350,391517,397201,403483,409923,416502,422351,428393,431935,463277,467454,471308,475873,480515,485107,489498,493653,498657,404447,409349,414652,420802,427320,435227,442766,449398,455481,459795
12,Florida,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325,9151054,9281959,9392146,9506196,9652527,9833578,10029897,10199213,10355264,7830201,7984190,8147636,8306512,8512871,8724088,8886910,8989255,9062026,9118355,9622275,9745231,9866340,9985845,10138144,10322266,10529527,10708516,10875560,8217314,8372776,8541734,8697573,8902447,9117950,9280080,9378587,9465279,9534289
13,Georgia,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475,4691741,4728001,4778944,4810611,4852405,4905238,4965239,5014417,5061728,4047070,4120876,4180322,4227841,4305728,4370659,4485207,4572416,4647859,4703090,4961658,5005400,5057620,5099193,5150950,5211752,5279214,5337098,5394417,4180233,4256162,4327934,4394952,4463524,4555263,4670606,4777572,4856984,4917756
15,Hawaii,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491,649903,657494,662948,667925,670970,674506,677730,675116,673174,610025,616759,623421,627401,636705,647916,657380,658490,666900,673642,674687,681961,688873,694383,696689,699779,702792,702414,702031,603494,609189,616192,623753,636864,644813,652351,657185,665313,673075
16,Idaho,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570773,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208,782882,788682,795757,803973,813869,824111,840093,858184,876172,651446,661919,671686,683503,698616,716258,736565,754978,769528,779041,783236,790013,795915,803698,813382,823551,839339,857244,874498,647984,658043,668686,679877,693186,711983,732104,750127,764792,775398
17,Illinois,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080,6269806,6288821,6298211,6306485,6305567,6294291,6277684,6260756,6239407,6088884,6118002,6137659,6153147,6175564,6186072,6203933,6228289,6253501,6276055,6536864,6549381,6557067,6560884,6556289,6541379,6519868,6498061,6473953,6345277,6370443,6387897,6402859,6414209,6423831,6440022,6467577,6493537,6520723
18,Indiana,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878,3188798,3202730,3215786,3232182,3245704,3254487,3267818,3280960,3297871,2988697,3007602,3022625,3044272,3064055,3087135,3114466,3138145,3160843,3177848,3296747,3309106,3318207,3332725,3344756,3351065,3362931,3376398,3391166,3103169,3120158,3133342,3152366,3168952,3191481,3218203,3241454,3263963,3281477
19,Iowa,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145,1509284,1516241,1524323,1533500,1542823,1550384,1556102,1562721,1569296,1437292,1439710,1442784,1448092,1454747,1461435,1471520,1481189,1491195,1500131,1539549,1545809,1550219,1557908,1565130,1569777,1574321,1579690,1585048,1491775,1492287,1491450,1493907,1498888,1503019,1511124,1518023,1525539,1532739
20,Kansas,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858213,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505,1400041,1406029,1413792,1418150,1424893,1428774,1432664,1431286,1430783,1331181,1336196,1341637,1345589,1351977,1357341,1368839,1378080,1392513,1404565,1437628,1442281,1448499,1450970,1453244,1456890,1457705,1457460,1457989,1362500,1365966,1371898,1377415,1382396,1387958,1394092,1405705,1415563,1428139
21,Kentucky,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402,2120161,2130060,2138675,2152614,2157623,2164898,2172186,2180321,2187505,1979305,1991261,2002652,2014862,2034050,2053084,2070143,2092462,2106346,2123938,2206550,2216968,2223416,2231975,2237441,2242747,2249550,2256881,2264178,2069716,2076871,2087223,2102308,2112051,2129658,2149096,2164210,2183532,2193136
22,Louisiana,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544532,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978,2204634,2224571,2234724,2245910,2256834,2267797,2273014,2266896,2261299,2164907,2169812,2181743,2193889,2213485,2227187,2098593,2136456,2165956,2196449,2316436,2333134,2346459,2358363,2368488,2379427,2387702,2386268,2382750,2306978,2308063,2315524,2327153,2338753,2349441,2204072,2239125,2269630,2295199
23,Maine,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327632,1328150,1327691,1328196,1330760,1328484,1331370,1335063,1338404,647334,649013,648910,649512,650506,649456,650564,652575,654144,621527,626035,631734,637833,641826,644683,647462,649243,651096,650896,677662,677694,677467,677267,678861,677885,679320,681206,682892,655545,659657,664226,668680,671862,674104,676157,677797,679413,678694
24,Maryland,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718,2776951,2802904,2829181,2847057,2862973,2876938,2881787,2892517,2901671,2565003,2594827,2625192,2652422,2676892,2700618,2719404,2733299,2749177,2770387,2983184,3007259,3030075,3047815,3065510,3079611,3086682,3096908,3106763,2746031,2779864,2815197,2843847,2870043,2891761,2907963,2920109,2935788,2960001
25,Massachusetts,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149,3169984,3194435,3223307,3248846,3274707,3291533,3307587,3326847,3346453,3064859,3085067,3097770,3101748,3097647,3094280,3098899,3109906,3128237,3151754,3389174,3411228,3433851,3459331,3483326,3499379,3513371,3531343,3550759,3296245,3312567,3319436,3320817,3314634,3309010,3311185,3321653,3340730,3365859
